Name;File Extension;Título;Artistas participantes;Álbum;Tamanho;Artista do Álbum
(Mastered) Avicii - Silhouettes (Eqlipse Remix).mp3;.mp3;;;;5.816 KB;
01 - O Amor Não Escolhe Profissão.mp3;.mp3;Amor Não Escolhe Profissão;;;5.205 KB;
01 Como que oc pôde abando eu.mp3;.mp3;Como que oce pôde abandoná eu;;;2.612 KB;
01 Don't Stop Believin.wma;.wma;Don't Stop Believin;Journey;Classic Metal;3.910 KB;Varios
01. The Alphabeat - www.musicasparabaixar.org.mp3;.mp3;The Alphabeat;David Guetta - www.musicasparabaixar.org;Greatest Hits - www.musicasparabaixar.org;10.607 KB;www.musicasparabaixar.org
01. Vincerò.mp3;.mp3;Vincerò;Annalisa;Splende;8.000 KB;Annalisa
01_Filho da Pátria.mp3;.mp3;Filho da Pátria;Fabio Brazza;Filho da Pátria;8.285 KB;
02 - Eu Sou Pedreiro.mp3;.mp3;Eu Sou Pedreiro;;;5.655 KB;
02 - Fade Into Darkness-Avicii.mp3;.mp3;;Va - www.musicasparabaixar.org;Running Trax Summer 2012 - www.musicasparabaixar.org;9.761 KB;www.musicasparabaixar.org
02 Anos Atras.mp3;.mp3;;;;2.724 KB;
02 Play The Game Tonight.wma;.wma;Play The Game Tonight;Kansas;Classic Metal;3.111 KB;Varios
02. Splende.mp3;.mp3;Splende;Annalisa;Splende;8.078 KB;Annalisa
02_Sem moda, sem medo.mp3;.mp3;Sem moda sem medo;Fabio Brazza;Filho da Pátria;2.028 KB;
03 - Lálálá.mp3;.mp3;Lálálá;;;5.149 KB;
03 O Menino.mp3;.mp3;;;;2.276 KB;
03 Only Time Will Tell.wma;.wma;Only Time Will Tell;Asia;Classic Metal;4.570 KB;Varios
03_Time to Love.mp3;.mp3;Time to Love;Fabio Brazza;Filho da Pátria;7.777 KB;
04 - Ela Traiu O Rock and Roll.mp3;.mp3;Ela Traiu o Rock and Roll;;;5.145 KB;
04 - Seek Bromance-Tim Berg.mp3;.mp3;;Va - www.musicasparabaixar.org;Running Trax Summer 2012 - www.musicasparabaixar.org;8.882 KB;www.musicasparabaixar.org
04 Em plena lua de mel (part. Reginaldo Rossi).mp3;.mp3;;;;4.859 KB;
04 The Final Countdown.wma;.wma;The Final Countdown;Europe;Classic Metal;4.856 KB;Varios
04-italobrothers-upside_down.mp3;.mp3;Upside Down;Italobrothers;Stamp;8.332 KB;
04_Samba de Rap.mp3;.mp3;Samba de Rap;Fabio Brazza;Filho da Pátria;3.299 KB;
05 - Funcionário do Mês.mp3;.mp3;Funcionário do Mês;;;4.785 KB;
05 Eu não toco raul.mp3;.mp3;;;;2.216 KB;
05 Eye Of The Tiger.wma;.wma;Eye Of The Tiger;Survivor;Classic Metal;3.572 KB;Varios
05_Ninguém pode parar.mp3;.mp3;O Samba Chegou;Fabio Brazza;Filho da Pátria;5.442 KB;
06 - Me Provoc.mp3;.mp3;Me Provoca;;;5.274 KB;
06 Camioneta zera.mp3;.mp3;;;;2.394 KB;
06 Rock You Like a Hurricane.wma;.wma;Rock You Like a Hurricane;Scorpions;Classic Metal;3.975 KB;Varios
06-italobrothers_vs_tune_up-colours_of_the_rainbow.mp3;.mp3;Colours Of The Rainbow;Italobrothers Vs Tune Up!;Stamp;8.142 KB;
06. Questo Amore.mp3;.mp3;Questo Amore;Annalisa;Splende;7.960 KB;Annalisa
06_Maria Chuteira.mp3;.mp3;Maria Chuteira;Fabio Brazza;Filho da Pátria;7.399 KB;
07 - Que você se....mp3;.mp3;Eu Quero Que Você...;;;3.922 KB;
07 Breaking All The Rules.wma;.wma;Breaking All The Rules;Peter Frampton;Classic Metal;6.682 KB;Varios
07 Eu tô na seca.mp3;.mp3;;;;2.825 KB;
07-italobrothers_vs_manian-heaven.mp3;.mp3;Heaven;Italobrothers Vs Manian;Stamp;8.532 KB;
07_Anderson Silva.mp3;.mp3;Anderson Silva;Fabio Brazza;Filho da Pátria;8.253 KB;
08 - Libertas Quae Sera Tamen.mp3;.mp3;Libertas Quae Será Tamen;;;4.232 KB;
08 Resolução.mp3;.mp3;;;;2.924 KB;
08 Separate Ways (Worlds Apart).wma;.wma;Separate Ways (Worlds Apart);Journey;Classic Metal;5.113 KB;Varios
08 Skrillex - Rock N' Roll (Will Take You To The Mountain).mp3;.mp3;08 Skrillex - Rock N' Roll (Will Take You To The Mountain);Skrillex;More Monsters and Sprites EP;4.463 KB;
08-italobrothers-so_small_(dance_radio_edit).mp3;.mp3;So Small (Dance Radio Edit);Italobrothers;Stamp;7.680 KB;
08. Niente Tranne Noi.mp3;.mp3;Niente Tranne Noi;Annalisa;Splende;8.430 KB;Annalisa
